ESTADO;ACCIÓN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;IR A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;";";ident;const;int;double;bool;string;[  ];(;);void;,;class;{;};:;interface;if;else;while;for;return;break;Console;.;Writeline;=;==;&&;<;<=;+;*;%;-;!;this;New;intConstant;doubleConstant;boolConstant;dtringConstant;null;$;S';Program;Decl;VariableDecl;Variable;ConstDecl;ConstType;Type;Type';Type'';FunctiondDecl;Formals;Formals';ClassDecl;CladdDecl_P;CladdDecl_R;CladdDecl_O;CladdDecl_Q;Field;InterfaceDecl;InterfaceDecl';Prototype;StmtBlock;StmtBlock';StmtBlock'';StmtBloclk''';Stmt;Stmt';IfStmt;IfStmt';WhileStmt;ForStmt;ReturnStmt;BreakStmt;PrintStmt;PrintStmt';Expr;ExprOr;ExprOr';ExprAnd;ExprAnd';ExprEquals;ExprEquals';ExprComp;ExprComp'
75;;d19;;d15;d16;d17;d18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;;;41;14;;;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;r49;r49;d11 / r49;r49;r49;r49;r49;;r49;;r49;;r49;r49;r49;;r49;r49;r49;r49;r49;r49;r49;r49;;;;;;;;;;;r49;r49;r49;r49;r49;r49;r49;r49;r49;r49;;;;;;82;;;;;;;;;;;;;;;;;;;81;;;;;;;;;;;;;;;;;;;;
77;r47;d19 / r47;r47;d15 / r47;d16 / r47;d17 / r47;d18 / r47;;r47;;r47;;r47;r47;r47;;r47;r47;r47;r47;r47;r47;r47;r47;;;;;;;;;;;r47;r47;r47;r47;r47;r47;r47;r47;r47;r47;;;;77;8;;;41;14;;;;;;;;;;;;;;;83;;;;;;;;;;;;;;;;;;;;;
78;;;;;;;;;;;;;;r34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;;;;;;;;;;d84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;;;;;;;;;;d85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;r61;d103;;;;;;;d114;;;;;d68;r51;;;d96;;d97;d99;d101;d100;d102;;;;;;;;;;;d110;d111;d115;d116;d117;d118;d119;d120;d121;;;;;;;;;;;;;;;;;;;;;;;;95;;;86;87;90;88;;89;91;93;92;94;;98;104;105;106;107;108;109;112;113
82;r49;r49;d11 / r49;r49;r49;r49;r49;;r49;;r49;;r49;r49;r49;;r49;r49;r49;r49;r49;r49;r49;r49;;;;;;;;;;;r49;r49;r49;r49;r49;r49;r49;r49;r49;r49;;;;;;82;;;;;;;;;;;;;;;;;;;122;;;;;;;;;;;;;;;;;;;;
83;r46;r46;r46;r46;r46;r46;r46;;r46;;r46;;r46;r46;r46;;r46;r46;r46;r46;r46;r46;r46;r46;;;;;;;;;;;r46;r46;r46;r46;r46;r46;r46;r46;r46;r46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;d123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
